28/08/2018,04/09/2018,11/09/2018,18/09/2018,25/09/2018,02/10/2018,09/10/2018,16/10/2018,23/10/2018,30/10/2018,06/11/2018,13/11/2018,20/11/2018,27/11/2018,04/12/2018,11/12/2018,18/12/2018,08/01/2019,15/01/2019,22/01/2019,29/01/2019,05/02/2019,12/02/2019
7H,8A,        KO CUP,6H,5A,4A,        KO CUP,3H,2H,7A,8H,4H,6A,MIXED DOUBLES,2A,HOUSE CHAMP CHAMP,5H,LADIES & MENS DOUBLES PRE LIM,3A,LADIES & MENS SINGLES PRE LIM,KO SHIELD QUARTER AND FINAL,KO CUP QUARTER AND FINAL,Over 50s COMP
6H,7A,,5H,8H,3A,,4H,1A,6A,7H,3H,5A,,1H,,8A,,4A,,,,
5H,6A,,8H,7A,2H,,1A,4A,5A,6H,2A,8A,,4H,,7H,,1H,,,,
8H,5A,,7H,6A,1H,,2A,3H,8A,5H,1A,7A,,3A,,6H,,2H,,,,
3A,4H,,2A,1H,6A,,7H,8H,3H,4A,6H,2H,,8A,,1A,,7A,,,,
2A,3H,,1A,4H,5H,,8A,7A,2H,3A,5A,1H,,7H,,4A,,8H,,,,
1A,2H,,4A,3H,8H,,5A,6H,1H,2A,8A,4H,,6A,,3A,,5H,,,,
4A,1H,,3A,2A,7A,,6H,5A,4H,1A,7H,3H,,5H,,2H,,6A,,,,
,,,,,,,,,,,,,,,,,,,,,,
